sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N/m^2)  ;Bending Dir1 (N/m^2)  ;Bending Dir2 (N/m^2)  ;Torsional (N/m^2)  ;Worst Case (N/m^2)
  ;61  ;1  ;3.7443e+07  ;1.294e+08  ;-1.0584e+08  ;-1.9592e+07  ;2.0462e+08
  ;  ;2  ;3.7446e+07  ;1.6693e+08  ;-8.963e+07  ;-1.9592e+07  ;2.2692e+08
  ;62  ;1  ;3.7446e+07  ;1.6693e+08  ;-8.963e+07  ;-1.9592e+07  ;2.2692e+08
  ;  ;2  ;3.7449e+07  ;2.0446e+08  ;-7.3413e+07  ;-1.9592e+07  ;2.5469e+08
  ;63  ;1  ;3.7449e+07  ;2.0446e+08  ;-7.3413e+07  ;-1.9592e+07  ;2.5469e+08
  ;  ;2  ;3.7452e+07  ;2.42e+08  ;-5.7189e+07  ;-1.9592e+07  ;2.8612e+08
  ;64  ;1  ;-6.3603e+06  ;2.5045e+08  ;1.5303e+08  ;9.9578e+07  ;2.9986e+08
  ;  ;2  ;-6.3568e+06  ;1.2875e+08  ;1.5738e+08  ;9.9578e+07  ;2.0969e+08
  ;65  ;1  ;-6.3568e+06  ;1.2875e+08  ;1.5738e+08  ;9.9578e+07  ;2.0969e+08
  ;  ;2  ;-6.3533e+06  ;7.0578e+06  ;1.6173e+08  ;9.9578e+07  ;1.6824e+08
Beam-7(Circuler tube 1X0.06(16_GAUGE)(56)[9])  ;  ;  ;  ;  ;  ;  ;
  ;66  ;1  ;1.5683e+09  ;-1.6839e+09  ;-4.8347e+08  ;-2.8658e+06  ;3.3202e+09
  ;  ;2  ;1.5683e+09  ;-1.3463e+09  ;-3.8664e+08  ;-2.8658e+06  ;2.9691e+09
  ;67  ;1  ;1.5683e+09  ;-1.3463e+09  ;-3.8664e+08  ;-2.865e+06  ;2.9691e+09
  ;  ;2  ;1.5683e+09  ;-1.0088e+09  ;-2.8982e+08  ;-2.865e+06  ;2.6179e+09
  ;68  ;1  ;1.5683e+09  ;-1.0088e+09  ;-2.8982e+08  ;-2.8656e+06  ;2.6179e+09
  ;  ;2  ;1.5683e+09  ;-6.7123e+08  ;-1.9304e+08  ;-2.8656e+06  ;2.2668e+09
  ;69  ;1  ;1.5683e+09  ;-6.7123e+08  ;-1.9304e+08  ;-2.8652e+06  ;2.2668e+09
  ;  ;2  ;1.5683e+09  ;-3.3368e+08  ;-9.6269e+07  ;-2.8652e+06  ;1.9156e+09
  ;70  ;1  ;1.5683e+09  ;-3.3368e+08  ;-9.6269e+07  ;-2.8654e+06  ;1.9156e+09
  ;  ;2  ;1.5683e+09  ;3.8646e+06  ;4.6281e+05  ;-2.8654e+06  ;1.5722e+09
Beam-8(Circuler tube 1X0.06(16_GAUGE)(1)[1])  ;  ;  ;  ;  ;  ;  ;
  ;71  ;1  ;-8.8336e+07  ;7.5451e+07  ;9.4566e+07  ;-1.8271e+07  ;2.0931e+08
  ;  ;2  ;-8.8339e+07  ;3.6833e+07  ;7.0191e+07  ;-1.8271e+07  ;1.6761e+08
  ;72  ;1  ;-8.8339e+07  ;3.6833e+07  ;7.0191e+07  ;-1.8271e+07  ;1.6761e+08
  ;  ;2  ;-8.8342e+07  ;-1.7844e+06  ;4.5816e+07  ;-1.8271e+07  ;1.3419e+08
  ;73  ;1  ;-8.8342e+07  ;-1.7844e+06  ;4.5816e+07  ;-1.8271e+07  ;1.3419e+08
  ;  ;2  ;-8.8345e+07  ;-4.0402e+07  ;2.1441e+07  ;-1.8271e+07  ;1.3408e+08
  ;74  ;1  ;-8.8345e+07  ;-4.0402e+07  ;2.1441e+07  ;-1.8271e+07  ;1.3408e+08
  ;  ;2  ;-8.8348e+07  ;-7.902e+07  ;-2.9345e+06  ;-1.8271e+07  ;1.6742e+08
  ;75  ;1  ;-8.8348e+07  ;-7.902e+07  ;-2.9345e+06  ;-1.8271e+07  ;1.6742e+08
  ;  ;2  ;-8.8351e+07  ;-1.1764e+08  ;-2.731e+07  ;-1.8271e+07  ;2.0912e+08
Beam-9(Circuler tube 1X0.06(16_GAUGE)(6)[4])  ;  ;  ;  ;  ;  ;  ;
  ;76  ;1  ;1.4426e+08  ;3.7188e+07  ;-9.3807e+07  ;-3.6361e+07  ;2.4517e+08
  ;  ;2  ;1.4426e+08  ;3.2601e+07  ;-6.7421e+07  ;-3.6361e+07  ;2.1915e+08
  ;77  ;1  ;1.4426e+08  ;3.2601e+07  ;-6.7421e+07  ;-3.6361e+07  ;2.1915e+08
  ;  ;2  ;1.4426e+08  ;2.8038e+07  ;-4.1035e+07  ;-3.6361e+07  ;1.9396e+08
  ;78  ;1  ;1.4426e+08  ;2.8038e+07  ;-4.1034e+07  ;-3.6361e+07  ;1.9396e+08
  ;  ;2  ;1.4426e+08  ;2.3501e+07  ;-1.4648e+07  ;-3.6361e+07  ;1.7195e+08
  ;79  ;1  ;1.4426e+08  ;2.3501e+07  ;-1.4648e+07  ;-3.6361e+07  ;1.7195e+08
  ;  ;2  ;1.4426e+08  ;1.8987e+07  ;1.1738e+07  ;-3.6361e+07  ;1.6658e+08
  ;80  ;1  ;1.4426e+08  ;1.8987e+07  ;1.1738e+07  ;-3.6361e+07  ;1.6658e+08
  ;  ;2  ;1.4426e+08  ;1.4498e+07  ;3.8124e+07  ;-3.6361e+07  ;1.8504e+08
  ;81  ;1  ;1.4426e+08  ;1.4498e+07  ;3.8124e+07  ;-3.6361e+07  ;1.8504e+08
  ;  ;2  ;1.4426e+08  ;1.0033e+07  ;6.451e+07  ;-3.6361e+07  ;2.0954e+08
  ;82  ;1  ;1.4426e+08  ;1.0033e+07  ;6.451e+07  ;-3.6361e+07  ;2.0954e+08
  ;  ;2  ;1.4426e+08  ;5.592e+06  ;9.0896e+07  ;-3.6361e+07  ;2.3532e+08
  ;83  ;1  ;1.4426e+08  ;5.592e+06  ;9.0896e+07  ;-3.6361e+07  ;2.3532e+08
  ;  ;2  ;1.4426e+08  ;1.1748e+06  ;1.1728e+08  ;-3.6361e+07  ;2.6154e+08
  ;84  ;1  ;1.4426e+08  ;1.1748e+06  ;1.1728e+08  ;-3.6361e+07  ;2.6154e+08
  ;  ;2  ;1.4426e+08  ;-3.2174e+06  ;1.4367e+08  ;-3.6361e+07  ;2.8796e+08
  ;85  ;1  ;1.4426e+08  ;-3.2173e+06  ;1.4367e+08  ;-3.6361e+07  ;2.8796e+08
  ;  ;2  ;1.4426e+08  ;-7.5851e+06  ;1.7005e+08  ;-3.6361e+07  ;3.1448e+08
  ;86  ;1  ;1.4426e+08  ;-7.5852e+06  ;1.7005e+08  ;-3.6361e+07  ;3.1448e+08
  ;  ;2  ;1.4426e+08  ;-1.1929e+07  ;1.9644e+08  ;-3.6361e+07  ;3.4106e+08
  ;87  ;1  ;1.4426e+08  ;-1.1929e+07  ;1.9644e+08  ;-3.6361e+07  ;3.4106e+08
