sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N)  ;Shear1 (N)  ;Shear2 (N)  ;Moment 1 (N.m)  ;Moment 2 (N.m)  ;Torque (N.m)
  ;  ;2  ;-78,811  ;9.8868  ;778.47  ;-529.3  ;1.4748  ;-8.4309
  ;113  ;1  ;78,811  ;-9.9259  ;-778.36  ;529.3  ;-1.4794  ;8.4311
  ;  ;2  ;-78,811  ;9.5768  ;778.36  ;-497.73  ;1.0839  ;-8.4311
  ;114  ;1  ;78,811  ;-9.4851  ;-778.41  ;497.73  ;-1.0822  ;8.4306
  ;  ;2  ;-78,811  ;9.136  ;778.41  ;-466.16  ;0.70453  ;-8.4306
  ;115  ;1  ;78,811  ;-9.19  ;-778.46  ;466.16  ;-0.70294  ;8.4309
  ;  ;2  ;-78,811  ;8.8409  ;778.46  ;-434.59  ;0.33727  ;-8.4309
  ;116  ;1  ;78,811  ;-8.7865  ;-778.4  ;434.59  ;-0.33848  ;8.4306
  ;  ;2  ;-78,811  ;8.4374  ;778.4  ;-403.01  ;-0.010824  ;-8.4306
  ;117  ;1  ;78,811  ;-8.494  ;-778.4  ;403.01  ;0.010833  ;8.4309
  ;  ;2  ;-78,811  ;8.1449  ;778.39  ;-371.44  ;-0.34827  ;-8.4309
  ;118  ;1  ;78,811  ;-8.096  ;-778.41  ;371.44  ;0.34839  ;8.4307
  ;  ;2  ;-78,811  ;7.7469  ;778.4  ;-339.87  ;-0.66969  ;-8.4307
  ;119  ;1  ;78,811  ;-7.7957  ;-778.39  ;339.87  ;0.66962  ;8.4309
  ;  ;2  ;-78,811  ;7.4466  ;778.39  ;-308.3  ;-0.97874  ;-8.4309
  ;120  ;1  ;78,811  ;-7.4466  ;-778.39  ;308.3  ;0.97874  ;8.4309
  ;  ;2  ;-78,811  ;7.0975  ;778.38  ;-276.72  ;-1.2737  ;-8.4309
  ;121  ;1  ;78,811  ;-7.0408  ;-778.38  ;276.72  ;1.2737  ;8.4307
  ;  ;2  ;-78,811  ;6.6918  ;778.38  ;-245.15  ;-1.5522  ;-8.4307
  ;122  ;1  ;78,811  ;-6.7363  ;-778.38  ;245.15  ;1.5522  ;8.4308
  ;  ;2  ;-78,811  ;6.3872  ;778.38  ;-213.58  ;-1.8183  ;-8.4308
  ;123  ;1  ;78,811  ;-6.3993  ;-778.37  ;213.58  ;1.8183  ;8.4308
  ;  ;2  ;-78,811  ;6.0502  ;778.37  ;-182.01  ;-2.0708  ;-8.4308
  ;124  ;1  ;78,811  ;-5.9831  ;-778.43  ;182.01  ;2.0704  ;8.4307
  ;  ;2  ;-78,811  ;5.634  ;778.43  ;-150.44  ;-2.306  ;-8.4307
  ;125  ;1  ;78,811  ;-5.743  ;-778.31  ;150.44  ;2.3068  ;8.4309
  ;  ;2  ;-78,811  ;5.3939  ;778.31  ;-118.87  ;-2.5327  ;-8.4309
  ;126  ;1  ;78,811  ;-5.2953  ;-778.36  ;118.87  ;2.5323  ;8.4307
  ;  ;2  ;-78,812  ;4.9462  ;778.36  ;-87.298  ;-2.74  ;-8.4307
  ;127  ;1  ;78,812  ;-4.9939  ;-778.42  ;87.298  ;2.7396  ;8.4308
  ;  ;2  ;-78,812  ;4.6449  ;778.42  ;-55.725  ;-2.9351  ;-8.4308
  ;128  ;1  ;78,812  ;-4.6413  ;-778.36  ;55.725  ;2.9354  ;8.4308
  ;  ;2  ;-78,812  ;4.2922  ;778.35  ;-24.154  ;-3.1166  ;-8.4308
  ;129  ;1  ;78,812  ;-4.2415  ;-778.35  ;24.154  ;3.1166  ;8.4308
