sep=;
11:59; Saturday; October 05; 2024
Study name:Rear_Impact

Beam Name  ;Element  ;End  ;Axial (N)  ;Shear1 (N)  ;Shear2 (N)  ;Moment 1 (N.m)  ;Moment 2 (N.m)  ;Torque (N.m)
  ;  ;2  ;-234.4  ;6,881.7  ;-68.104  ;48.239  ;576.25  ;-18.377
  ;53  ;1  ;234.4  ;-6,881.7  ;68.103  ;-48.239  ;-576.25  ;18.377
  ;  ;2  ;-233.99  ;6,881.8  ;-68.047  ;45.686  ;318.18  ;-18.377
  ;54  ;1  ;233.99  ;-6,881.8  ;67.827  ;-45.676  ;-318.18  ;18.376
  ;  ;2  ;-233.59  ;6,881.9  ;-67.771  ;43.134  ;60.1  ;-18.376
  ;55  ;1  ;233.59  ;-6,881.9  ;67.988  ;-43.136  ;-60.098  ;18.376
  ;  ;2  ;-233.18  ;6,882  ;-67.932  ;40.587  ;-197.99  ;-18.376
  ;56  ;1  ;-1,592.9  ;-42.398  ;-261.51  ;-14.28  ;83.06  ;-11.723
  ;  ;2  ;1,593.4  ;42.519  ;261.58  ;25.552  ;-84.889  ;11.723
  ;57  ;1  ;-1,593.4  ;-42.519  ;-261.58  ;-25.552  ;84.889  ;-11.723
  ;  ;2  ;1,593.9  ;42.64  ;261.64  ;36.827  ;-86.725  ;11.723
  ;58  ;1  ;-1,593.9  ;-42.64  ;-261.64  ;-36.827  ;86.725  ;-11.723
  ;  ;2  ;1,594.3  ;42.761  ;261.71  ;48.104  ;-88.565  ;11.723
  ;59  ;1  ;-1,594.3  ;-42.757  ;-261.7  ;-48.106  ;88.564  ;-11.723
  ;  ;2  ;1,594.8  ;42.878  ;261.77  ;59.386  ;-90.41  ;11.723
  ;60  ;1  ;-1,594.8  ;-42.881  ;-261.77  ;-59.385  ;90.41  ;-11.723
  ;  ;2  ;1,595.3  ;43.002  ;261.83  ;70.668  ;-92.261  ;11.723
  ;61  ;1  ;-1,595.3  ;-43.002  ;-261.83  ;-70.668  ;92.261  ;-11.723
